[14:21:53] [main/INFO]: ModLauncher running: args [--username, Melodi_Bug, --version, forge-47.3.0, --gameDir, C:\Users\melod\curseforge\minecraft\Instances\FancyCraft, --assetsDir, C:\Users\melod\curseforge\minecraft\Install\assets, --assetIndex, 5, --uuid, b0b6b36226fb49329c84d9dfbd2166bd, --accessToken, ????????, --clientId, ZjMxMzRhMjMtMjFlNy00ZDVlLTljOTktMTcxMmZiM2M3MzM0, --xuid, 2535421268856048, --userType, msa, --versionType, release, --width, 1024, --height, 768, --quickPlayPath, C:\Users\melod\curseforge\minecraft\Install\quickPlay\java\1725510112228.json, --launchTarget, forgeclient, --fml.forgeVersion, 47.3.0, --fml.mcVersion, 1.20.1, --fml.forgeGroup, net.minecraftforge, --fml.mcpVersion, 20230612.114412]
[14:21:53] [main/INFO]: ModLauncher 10.0.9+10.0.9+main.dcd20f30 starting: java version 17.0.8 by Microsoft; OS Windows 11 arch amd64 version 10.0
[14:21:54] [main/INFO]: Loading ImmediateWindowProvider fmlearlywindow
[14:21:54] [main/INFO]: Trying GL version 4.6
[14:21:54] [main/INFO]: Requested GL version 4.6 got version 4.6
[14:21:54] [main/INFO]: SpongePowered MIXIN Subsystem Version=0.8.5 Source=union:/C:/Users/melod/curseforge/minecraft/Install/libraries/org/spongepowered/mixin/0.8.5/mixin-0.8.5.jar%23100!/ Service=ModLauncher Env=CLIENT
[14:21:54] [pool-2-thread-1/INFO]: GL info: Intel(R) Iris(R) Xe Graphics GL version 4.6.0 - Build 31.0.101.5186, Intel
[14:21:55] [main/INFO]: Found mod file citadel-2.6.0-1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\melod\curseforge\minecraft\Instances\FancyCraft\mods}
[14:21:55] [main/INFO]: Found mod file cleanswing-1.20-1.5.jar of type MOD with provider {mods folder locator at C:\Users\melod\curseforge\minecraft\Instances\FancyCraft\mods}
[14:21:55] [main/INFO]: Found mod file cloth-config-11.1.118-forge.jar of type MOD with provider {mods folder locator at C:\Users\melod\curseforge\minecraft\Instances\FancyCraft\mods}
[14:21:55] [main/INFO]: Found mod file Clumps-forge-1.20.1-12.0.0.4.jar of type MOD with provider {mods folder locator at C:\Users\melod\curseforge\minecraft\Instances\FancyCraft\mods}
[14:21:55] [main/INFO]: Found mod file ColdSweat-2.3.3.jar of type MOD with provider {mods folder locator at C:\Users\melod\curseforge\minecraft\Instances\FancyCraft\mods}
[14:21:55] [main/INFO]: Found mod file collective-1.20.1-7.84.jar of type MOD with provider {mods folder locator at C:\Users\melod\curseforge\minecraft\Instances\FancyCraft\mods}
[14:21:55] [main/INFO]: Found mod file colorfulhearts-forge-1.20.1-4.3.15.jar of type MOD with provider {mods folder locator at C:\Users\melod\curseforge\minecraft\Instances\FancyCraft\mods}
[14:21:55] [main/INFO]: Found mod file comforts-forge-6.4.0+1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\melod\curseforge\minecraft\Instances\FancyCraft\mods}
[14:21:55] [main/INFO]: Found mod file constructionwand-1.20.1-2.11.jar of type MOD with provider {mods folder locator at C:\Users\melod\curseforge\minecraft\Instances\FancyCraft\mods}
[14:21:55] [main/INFO]: Found mod file Controlling-forge-1.20.1-12.0.2.jar of type MOD with provider {mods folder locator at C:\Users\melod\curseforge\minecraft\Instances\FancyCraft\mods}
[14:21:55] [main/INFO]: Found mod file cosmeticarmorreworked-1.20.1-v1a.jar of type MOD with provider {mods folder locator at C:\Users\melod\curseforge\minecraft\Instances\FancyCraft\mods}
[14:21:55] [main/INFO]: Found mod file crafting-on-a-stick-1.20.1-1.1.5.jar of type MOD with provider {mods folder locator at C:\Users\melod\curseforge\minecraft\Instances\FancyCraft\mods}
[14:21:55] [main/INFO]: Found mod file create-1.20.1-0.5.1.h.jar of type MOD with provider {mods folder locator at C:\Users\melod\curseforge\minecraft\Instances\FancyCraft\mods}
[14:21:55] [main/INFO]: Found mod file create-stuff-additions1.20.1_v2.0.4a.jar of type MOD with provider {mods folder locator at C:\Users\melod\curseforge\minecraft\Instances\FancyCraft\mods}
[14:21:55] [main/INFO]: Found mod file createaddition-1.20.1-1.2.4e.jar of type MOD with provider {mods folder locator at C:\Users\melod\curseforge\minecraft\Instances\FancyCraft\mods}
[14:21:55] [main/INFO]: Found mod file CreativeCore_FORGE_v2.11.37_mc1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\melod\curseforge\minecraft\Instances\FancyCraft\mods}
[14:21:55] [main/INFO]: Found mod file cristellib-1.1.5-forge.jar of type MOD with provider {mods folder locator at C:\Users\melod\curseforge\minecraft\Instances\FancyCraft\mods}
[14:21:55] [main/INFO]: Found mod file Cucumber-1.20.1-7.0.11.jar of type MOD with provider {mods folder locator at C:\Users\melod\curseforge\minecraft\Instances\FancyCraft\mods}
[14:21:55] [main/INFO]: Found mod file curios-forge-5.10.0+1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\melod\curseforge\minecraft\Instances\FancyCraft\mods}
[14:21:55] [main/INFO]: Found mod file dankstorage-forge-1.20.1-13.jar of type MOD with provider {mods folder locator at C:\Users\melod\curseforge\minecraft\Instances\FancyCraft\mods}
[14:21:55] [main/INFO]: Found mod file DarkUtilities-Forge-1.20.1-17.0.3.jar of type MOD with provider {mods folder locator at C:\Users\melod\curseforge\minecraft\Instances\FancyCraft\mods}
[14:21:55] [main/INFO]: Found mod file doubledoors-1.20.1-5.9.jar of type MOD with provider {mods folder locator at C:\Users\melod\curseforge\minecraft\Instances\FancyCraft\mods}
[14:21:55] [main/INFO]: Found mod file DynamicTrees-1.20.1-1.3.0-BETA14.jar of type MOD with provider {mods folder locator at C:\Users\melod\curseforge\minecraft\Instances\FancyCraft\mods}
[14:21:55] [main/INFO]: Found mod file easy-villagers-forge-1.20.1-1.1.21.jar of type MOD with provider {mods folder locator at C:\Users\melod\curseforge\minecraft\Instances\FancyCraft\mods}
[14:21:55] [main/INFO]: Found mod file embeddium-0.3.31+mc1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\melod\curseforge\minecraft\Instances\FancyCraft\mods}
[14:21:55] [main/INFO]: Found mod file EnchantmentDescriptions-Forge-1.20.1-17.1.18.jar of type MOD with provider {mods folder locator at C:\Users\melod\curseforge\minecraft\Instances\FancyCraft\mods}
[14:21:55] [main/INFO]: Found mod file endersdelight-1.20.1-1.0.3.jar of type MOD with provider {mods folder locator at C:\Users\melod\curseforge\minecraft\Instances\FancyCraft\mods}
[14:21:55] [main/INFO]: Found mod file enhanced_boss_bars-1.20.1-1.0.0.jar of type MOD with provider {mods folder locator at C:\Users\melod\curseforge\minecraft\Instances\FancyCraft\mods}
[14:21:55] [main/INFO]: Found mod file enhanced_mushrooms-5.0.0.jar of type MOD with provider {mods folder locator at C:\Users\melod\curseforge\minecraft\Instances\FancyCraft\mods}
[14:21:55] [main/INFO]: Found mod file EnhancedVisuals_FORGE_v1.8.1_mc1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\melod\curseforge\minecraft\Instances\FancyCraft\mods}
[14:21:55] [main/INFO]: Found mod file entityculling-forge-1.7.0-mc1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\melod\curseforge\minecraft\Instances\FancyCraft\mods}
[14:21:55] [main/INFO]: Found mod file Explorify v1.6.1 f10-48.jar of type MOD with provider {mods folder locator at C:\Users\melod\curseforge\minecraft\Instances\FancyCraft\mods}
[14:21:55] [main/INFO]: Found mod file FarmersDelight-1.20.1-1.2.4.jar of type MOD with provider {mods folder locator at C:\Users\melod\curseforge\minecraft\Instances\FancyCraft\mods}
[14:21:55] [main/INFO]: Found mod file ferritecore-6.0.1-forge.jar of type MOD with provider {mods folder locator at C:\Users\melod\curseforge\minecraft\Instances\FancyCraft\mods}
[14:21:55] [main/INFO]: Found mod file firstaid-1.20.1-1.1.jar of type MOD with provider {mods folder locator at C:\Users\melod\curseforge\minecraft\Instances\FancyCraft\mods}
[14:21:55] [main/INFO]: Found mod file ftb-chunks-forge-2001.3.1.jar of type MOD with provider {mods folder locator at C:\Users\melod\curseforge\minecraft\Instances\FancyCraft\mods}
[14:21:55] [main/INFO]: Found mod file ftb-library-forge-2001.2.4.jar of type MOD with provider {mods folder locator at C:\Users\melod\curseforge\minecraft\Instances\FancyCraft\mods}
[14:21:55] [main/INFO]: Found mod file ftb-quests-forge-2001.4.8.jar of type MOD with provider {mods folder locator at C:\Users\melod\curseforge\minecraft\Instances\FancyCraft\mods}
[14:21:55] [main/INFO]: Found mod file ftb-teams-forge-2001.3.0.jar of type MOD with provider {mods folder locator at C:\Users\melod\curseforge\minecraft\Instances\FancyCraft\mods}
[14:21:55] [main/INFO]: Found mod file ftb-ultimine-forge-2001.1.5.jar of type MOD with provider {mods folder locator at C:\Users\melod\curseforge\minecraft\Instances\FancyCraft\mods}
[14:21:55] [main/INFO]: Found mod file fusion-1.1.1-forge-mc1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\melod\curseforge\minecraft\Instances\FancyCraft\mods}
[14:21:55] [main/INFO]: Found mod file geckolib-forge-1.20.1-4.4.9.jar of type MOD with provider {mods folder locator at C:\Users\melod\curseforge\minecraft\Instances\FancyCraft\mods}
[14:21:55] [main/INFO]: Found mod file grappling_hook_mod-1.20.1-1.20.1-v13.jar of type MOD with provider {mods folder locator at C:\Users\melod\curseforge\minecraft\Instances\FancyCraft\mods}
[14:21:55] [main/INFO]: Found mod file HostileNeuralNetworks-1.20.1-5.3.1.jar of type MOD with provider {mods folder locator at C:\Users\melod\curseforge\minecraft\Instances\FancyCraft\mods}
[14:21:55] [main/INFO]: Found mod file Iceberg-1.20.1-forge-1.1.21.jar of type MOD with provider {mods folder locator at C:\Users\melod\curseforge\minecraft\Instances\FancyCraft\mods}
[14:21:55] [main/INFO]: Found mod file immersive_aircraft-1.0.1+1.20.1-forge.jar of type MOD with provider {mods folder locator at C:\Users\melod\curseforge\minecraft\Instances\FancyCraft\mods}
[14:21:55] [main/INFO]: Found mod file industrial-foregoing-1.20.1-3.5.17.jar of type MOD with provider {mods folder locator at C:\Users\melod\curseforge\minecraft\Instances\FancyCraft\mods}
[14:21:55] [main/INFO]: Found mod file IronJetpacks-1.20.1-7.0.6.jar of type MOD with provider {mods folder locator at C:\Users\melod\curseforge\minecraft\Instances\FancyCraft\mods}
[14:21:55] [main/INFO]: Found mod file Jade-1.20.1-forge-11.11.1.jar of type MOD with provider {mods folder locator at C:\Users\melod\curseforge\minecraft\Instances\FancyCraft\mods}
[14:21:55] [main/INFO]: Found mod file jei-1.20.1-forge-15.12.2.51.jar of type MOD with provider {mods folder locator at C:\Users\melod\curseforge\minecraft\Instances\FancyCraft\mods}
[14:21:55] [main/INFO]: Found mod file L_Enders_Cataclysm-1.99.6-1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\melod\curseforge\minecraft\Instances\FancyCraft\mods}
[14:21:55] [main/INFO]: Found mod file LegendaryTooltips-1.20.1-forge-1.4.5.jar of type MOD with provider {mods folder locator at C:\Users\melod\curseforge\minecraft\Instances\FancyCraft\mods}
[14:21:55] [main/INFO]: Found mod file lemoned-1.0.1-1.20.jar of type MOD with provider {mods folder locator at C:\Users\melod\curseforge\minecraft\Instances\FancyCraft\mods}
[14:21:55] [main/INFO]: Found mod file lionfishapi-1.9.jar of type MOD with provider {mods folder locator at C:\Users\melod\curseforge\minecraft\Instances\FancyCraft\mods}
[14:21:55] [main/INFO]: Found mod file lootr-forge-1.20-0.7.34.89.jar of type MOD with provider {mods folder locator at C:\Users\melod\curseforge\minecraft\Instances\FancyCraft\mods}
[14:21:55] [main/INFO]: Found mod file mcd-1.0.0.jar of type MOD with provider {mods folder locator at C:\Users\melod\curseforge\minecraft\Instances\FancyCraft\mods}
[14:21:55] [main/INFO]: Found mod file Mekanism-1.20.1-10.4.9.61.jar of type MOD with provider {mods folder locator at C:\Users\melod\curseforge\minecraft\Instances\FancyCraft\mods}
[14:21:55] [main/INFO]: Found mod file MekanismGenerators-1.20.1-10.4.9.61.jar of type MOD with provider {mods folder locator at C:\Users\melod\curseforge\minecraft\Instances\FancyCraft\mods}
[14:21:55] [main/INFO]: Found mod file MekanismTools-1.20.1-10.4.9.61.jar of type MOD with provider {mods folder locator at C:\Users\melod\curseforge\minecraft\Instances\FancyCraft\mods}
[14:21:55] [main/INFO]: Found mod file merequester-forge-1.20.1-1.1.5.jar of type MOD with provider {mods folder locator at C:\Users\melod\curseforge\minecraft\Instances\FancyCraft\mods}
[14:21:55] [main/INFO]: Found mod file mes-1.3.1-1.20-forge.jar of type MOD with provider {mods folder locator at C:\Users\melod\curseforge\minecraft\Instances\FancyCraft\mods}
[14:21:55] [main/INFO]: Found mod file modernfix-forge-5.19.4+mc1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\melod\curseforge\minecraft\Instances\FancyCraft\mods}
[14:21:55] [main/INFO]: Found mod file moonlight-1.20-2.12.17-forge.jar of type MOD with provider {mods folder locator at C:\Users\melod\curseforge\minecraft\Instances\FancyCraft\mods}
[14:21:55] [main/INFO]: Found mod file MouseTweaks-forge-mc1.20.1-2.25.1.jar of type MOD with provider {mods folder locator at C:\Users\melod\curseforge\minecraft\Instances\FancyCraft\mods}
[14:21:55] [main/INFO]: Found mod file mowziesdelight-1.0.3.1-1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\melod\curseforge\minecraft\Instances\FancyCraft\mods}
[14:21:55] [main/INFO]: Found mod file mowziesmobs-1.6.5.jar of type MOD with provider {mods folder locator at C:\Users\melod\curseforge\minecraft\Instances\FancyCraft\mods}
[14:21:55] [main/INFO]: Found mod file MysticalAgriculture-1.20.1-7.0.12.jar of type MOD with provider {mods folder locator at C:\Users\melod\curseforge\minecraft\Instances\FancyCraft\mods}
[14:21:55] [main/INFO]: Found mod file NaturesCompass-1.20.1-1.11.2-forge.jar of type MOD with provider {mods folder locator at C:\Users\melod\curseforge\minecraft\Instances\FancyCraft\mods}
[14:21:55] [main/INFO]: Found mod file Neat-1.20-35-FORGE.jar of type MOD with provider {mods folder locator at C:\Users\melod\curseforge\minecraft\Instances\FancyCraft\mods}
[14:21:55] [main/INFO]: Found mod file Patchouli-1.20.1-84-FORGE.jar of type MOD with provider {mods folder locator at C:\Users\melod\curseforge\minecraft\Instances\FancyCraft\mods}
[14:21:55] [main/INFO]: Found mod file PigPen-Forge-1.20.1-15.0.2.jar of type MOD with provider {mods folder locator at C:\Users\melod\curseforge\minecraft\Instances\FancyCraft\mods}
[14:21:55] [main/INFO]: Found mod file Placebo-1.20.1-8.6.2.jar of type MOD with provider {mods folder locator at C:\Users\melod\curseforge\minecraft\Instances\FancyCraft\mods}
[14:21:55] [main/INFO]: Found mod file polymorph-forge-0.49.5+1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\melod\curseforge\minecraft\Instances\FancyCraft\mods}
[14:21:55] [main/INFO]: Found mod file Prism-1.20.1-forge-1.0.5.jar of type MOD with provider {mods folder locator at C:\Users\melod\curseforge\minecraft\Instances\FancyCraft\mods}
[14:21:55] [main/INFO]: Found mod file PuzzlesLib-v8.1.22-1.20.1-Forge.jar of type MOD with provider {mods folder locator at C:\Users\melod\curseforge\minecraft\Instances\FancyCraft\mods}
[14:21:55] [main/INFO]: Found mod file Quark-4.0-460.jar of type MOD with provider {mods folder locator at C:\Users\melod\curseforge\minecraft\Instances\FancyCraft\mods}
[14:21:55] [main/INFO]: Found mod file quark_delight_1.0.0_forge_1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\melod\curseforge\minecraft\Instances\FancyCraft\mods}
[14:21:55] [main/INFO]: Found mod file RealisticTorches-1.20.1-3.2.0.jar of type MOD with provider {mods folder locator at C:\Users\melod\curseforge\minecraft\Instances\FancyCraft\mods}
[14:21:55] [main/INFO]: Found mod file rechiseled-1.1.6-forge-mc1.20.jar of type MOD with provider {mods folder locator at C:\Users\melod\curseforge\minecraft\Instances\FancyCraft\mods}
[14:21:55] [main/INFO]: Found mod file rechiseledcreate-1.0.2-forge-mc1.20.jar of type MOD with provider {mods folder locator at C:\Users\melod\curseforge\minecraft\Instances\FancyCraft\mods}
[14:21:55] [main/INFO]: Found mod file resourcefullib-forge-1.20.1-2.1.29.jar of type MOD with provider {mods folder locator at C:\Users\melod\curseforge\minecraft\Instances\FancyCraft\mods}
[14:21:55] [main/INFO]: Found mod file Runelic-Forge-1.20.1-18.0.2.jar of type MOD with provider {mods folder locator at C:\Users\melod\curseforge\minecraft\Instances\FancyCraft\mods}
[14:21:55] [main/INFO]: Found mod file ScalableCatsForce-3.3.1-build-0-with-library.jar of type LANGPROVIDER with provider {mods folder locator at C:\Users\melod\curseforge\minecraft\Instances\FancyCraft\mods}
[14:21:55] [main/INFO]: Found mod file Searchables-forge-1.20.1-1.0.3.jar of type MOD with provider {mods folder locator at C:\Users\melod\curseforge\minecraft\Instances\FancyCraft\mods}
[14:21:55] [main/INFO]: Found mod file SereneSeasons-1.20.1-9.0.0.46.jar of type MOD with provider {mods folder locator at C:\Users\melod\curseforge\minecraft\Instances\FancyCraft\mods}
[14:21:55] [main/INFO]: Found mod file silent-gear-1.20.1-3.6.6.jar of type MOD with provider {mods folder locator at C:\Users\melod\curseforge\minecraft\Instances\FancyCraft\mods}
[14:21:55] [main/INFO]: Found mod file silent-lib-1.20.1-8.0.0.jar of type MOD with provider {mods folder locator at C:\Users\melod\curseforge\minecraft\Instances\FancyCraft\mods}
[14:21:55] [main/INFO]: Found mod file SilentCompat-forge-1.20.1-1.4.0.jar of type MOD with provider {mods folder locator at C:\Users\melod\curseforge\minecraft\Instances\FancyCraft\mods}
[14:21:55] [main/INFO]: Found mod file skinlayers3d-forge-1.6.7-mc1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\melod\curseforge\minecraft\Instances\FancyCraft\mods}
[14:21:55] [main/INFO]: Found mod file sodiumextras-forge-1.0.1-1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\melod\curseforge\minecraft\Instances\FancyCraft\mods}
[14:21:55] [main/INFO]: Found mod file sophisticatedbackpacks-1.20.1-3.20.6.1064.jar of type MOD with provider {mods folder locator at C:\Users\melod\curseforge\minecraft\Instances\FancyCraft\mods}
[14:21:55] [main/INFO]: Found mod file sophisticatedcore-1.20.1-0.6.25.632.jar of type MOD with provider {mods folder locator at C:\Users\melod\curseforge\minecraft\Instances\FancyCraft\mods}
[14:21:55] [main/INFO]: Found mod file SpartanWeaponry-1.20.1-forge-3.1.3-all.jar of type MOD with provider {mods folder locator at C:\Users\melod\curseforge\minecraft\Instances\FancyCraft\mods}
[14:21:55] [main/INFO]: Found mod file Steam_Rails-1.6.5+forge-mc1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\melod\curseforge\minecraft\Instances\FancyCraft\mods}
[14:21:55] [main/INFO]: Found mod file StorageDrawers-1.20.1-12.6.4.jar of type MOD with provider {mods folder locator at C:\Users\melod\curseforge\minecraft\Instances\FancyCraft\mods}
[14:21:55] [main/INFO]: Found mod file Structory_1.20.x_v1.3.5.jar of type MOD with provider {mods folder locator at C:\Users\melod\curseforge\minecraft\Instances\FancyCraft\mods}
[14:21:55] [main/INFO]: Found mod file supermartijn642configlib-1.1.8-forge-mc1.20.jar of type MOD with provider {mods folder locator at C:\Users\melod\curseforge\minecraft\Instances\FancyCraft\mods}
[14:21:55] [main/INFO]: Found mod file supermartijn642corelib-1.1.17a-forge-mc1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\melod\curseforge\minecraft\Instances\FancyCraft\mods}
[14:21:55] [main/INFO]: Found mod file supplementaries-1.20-2.8.17.jar of type MOD with provider {mods folder locator at C:\Users\melod\curseforge\minecraft\Instances\FancyCraft\mods}
[14:21:55] [main/INFO]: Found mod file TerraBlender-forge-1.20.1-3.0.1.7.jar of type MOD with provider {mods folder locator at C:\Users\melod\curseforge\minecraft\Instances\FancyCraft\mods}
[14:21:55] [main/INFO]: Found mod file Terralith_1.20.x_v2.5.4.jar of type MOD with provider {mods folder locator at C:\Users\melod\curseforge\minecraft\Instances\FancyCraft\mods}
[14:21:55] [main/INFO]: Found mod file ThinAir-v8.1.5-1.20.1-Forge.jar of type MOD with provider {mods folder locator at C:\Users\melod\curseforge\minecraft\Instances\FancyCraft\mods}
[14:21:55] [main/INFO]: Found mod file ThirstWasTaken-1.20.1-1.3.9.jar of type MOD with provider {mods folder locator at C:\Users\melod\curseforge\minecraft\Instances\FancyCraft\mods}
[14:21:55] [main/INFO]: Found mod file titanium-1.20.1-3.8.32.jar of type MOD with provider {mods folder locator at C:\Users\melod\curseforge\minecraft\Instances\FancyCraft\mods}
[14:21:55] [main/INFO]: Found mod file tombstone-1.20.1-8.7.2.jar of type MOD with provider {mods folder locator at C:\Users\melod\curseforge\minecraft\Instances\FancyCraft\mods}
[14:21:55] [main/INFO]: Found mod file ToolBelt-1.20.1-1.20.01.jar of type MOD with provider {mods folder locator at C:\Users\melod\curseforge\minecraft\Instances\FancyCraft\mods}
[14:21:55] [main/INFO]: Found mod file ToolStats-Forge-1.20.1-16.0.8.jar of type MOD with provider {mods folder locator at C:\Users\melod\curseforge\minecraft\Instances\FancyCraft\mods}
[14:21:55] [main/INFO]: Found mod file Towns-and-Towers-1.12-Fabric+Forge.jar of type MOD with provider {mods folder locator at C:\Users\melod\curseforge\minecraft\Instances\FancyCraft\mods}
[14:21:55] [main/INFO]: Found mod file waystones-forge-1.20-14.1.5.jar of type MOD with provider {mods folder locator at C:\Users\melod\curseforge\minecraft\Instances\FancyCraft\mods}
[14:21:55] [main/INFO]: Found mod file Xaeros_Minimap_24.3.0_Forge_1.20.jar of type MOD with provider {mods folder locator at C:\Users\melod\curseforge\minecraft\Instances\FancyCraft\mods}
